"","type","min","max","n","location","scale","Q1","Q3","Q2","plotmin","plotmax","mean","sd","shapeout","shapein","varscale"
"GDTOTAL_gds",1,0,6,7,0,1,1,2,1,0,6,0,0.875,1,1,0.25
"TRAASCOR_neuro",-2,0,150,0.015625,-2.41935483870968,154.838709677419,30,49,37,6,150,0,1,1,1,0.25
