BraTS21ID,Model,Channels,Tumor regions,Dice score,HD95
BraTS2021_01046,MEncodnnUnet,4 channels,TC,0.9646546244621277,1.7320508075688772
BraTS2021_00610,MEncodnnUnet,4 channels,TC,0.9485964775085449,1.4142135623730951
BraTS2021_00823,MEncodnnUnet,4 channels,TC,0.9325062036514282,2.449489742783178
BraTS2021_00203,MEncodnnUnet,4 channels,TC,0.9280775785446167,3.0
BraTS2021_01458,MEncodnnUnet,4 channels,TC,0.8922917246818542,3.0
BraTS2021_01158,MEncodnnUnet,4 channels,TC,0.9274111390113831,3.4641016151377544
BraTS2021_00539,MEncodnnUnet,4 channels,TC,0.9815946221351624,1.0
BraTS2021_00550,MEncodnnUnet,4 channels,TC,0.8801872730255127,2.449489742783178
BraTS2021_00294,MEncodnnUnet,4 channels,TC,0.8694473505020142,37.5592843218133
BraTS2021_01597,MEncodnnUnet,4 channels,TC,0.9698305726051331,1.4142135623730951
BraTS2021_01014,MEncodnnUnet,4 channels,TC,0.9915171265602112,1.0
BraTS2021_01357,MEncodnnUnet,4 channels,TC,0.990336537361145,1.0
BraTS2021_00525,MEncodnnUnet,4 channels,TC,0.11552110314369202,41.701318923986086
BraTS2021_00494,MEncodnnUnet,4 channels,TC,0.9850842952728271,1.0
BraTS2021_00343,MEncodnnUnet,4 channels,TC,0.9599539637565613,1.0
BraTS2021_00608,MEncodnnUnet,4 channels,TC,0.9634336829185486,2.0
BraTS2021_01661,MEncodnnUnet,4 channels,TC,0.9466649293899536,6.4031242374328485
BraTS2021_01179,MEncodnnUnet,4 channels,TC,1.0,0.0
BraTS2021_01278,MEncodnnUnet,4 channels,TC,0.9700207710266113,1.0
BraTS2021_00234,MEncodnnUnet,4 channels,TC,0.9086506366729736,5.916079783099616
BraTS2021_01633,MEncodnnUnet,4 channels,TC,0.9836384057998657,1.0
BraTS2021_01018,MEncodnnUnet,4 channels,TC,0.9934020042419434,1.0
BraTS2021_00464,MEncodnnUnet,4 channels,TC,0.9507888555526733,1.4142135623730951
BraTS2021_00131,MEncodnnUnet,4 channels,TC,0.9239010810852051,3.0
BraTS2021_01547,MEncodnnUnet,4 channels,TC,0.970100998878479,1.7320508075688772
BraTS2021_00331,MEncodnnUnet,4 channels,TC,0.4076102077960968,8.54400374531753
BraTS2021_01477,MEncodnnUnet,4 channels,TC,0.8086922764778137,17.894129629432406
BraTS2021_00500,MEncodnnUnet,4 channels,TC,0.8982979655265808,2.8284271247461903
BraTS2021_00797,MEncodnnUnet,4 channels,TC,0.9466825127601624,3.4641016151377544
BraTS2021_01210,MEncodnnUnet,4 channels,TC,0.9140178561210632,2.23606797749979
BraTS2021_00144,MEncodnnUnet,4 channels,TC,0.9577956199645996,1.4142135623730951
BraTS2021_00547,MEncodnnUnet,4 channels,TC,0.9718472361564636,1.0
BraTS2021_00651,MEncodnnUnet,4 channels,TC,0.9657081961631775,1.4142135623730951
BraTS2021_00112,MEncodnnUnet,4 channels,TC,0.6413878202438354,13.0
BraTS2021_00273,MEncodnnUnet,4 channels,TC,0.9683215618133545,3.3166247903554
BraTS2021_01322,MEncodnnUnet,4 channels,TC,0.9270737171173096,22.444323734432647
BraTS2021_01314,MEncodnnUnet,4 channels,TC,0.6244823932647705,5.830951894845301
BraTS2021_00504,MEncodnnUnet,4 channels,TC,0.8535751104354858,7.0
BraTS2021_00160,MEncodnnUnet,4 channels,TC,0.7914862632751465,4.123105625617661
BraTS2021_00096,MEncodnnUnet,4 channels,TC,0.9789441227912903,1.0
BraTS2021_00146,MEncodnnUnet,4 channels,TC,0.9006979465484619,4.242640687119285
BraTS2021_01518,MEncodnnUnet,4 channels,TC,0.8963193893432617,5.477225575051661
BraTS2021_00806,MEncodnnUnet,4 channels,TC,0.8992219567298889,11.180339887498949
BraTS2021_00518,MEncodnnUnet,4 channels,TC,0.866869330406189,38.54867053479276
BraTS2021_00728,MEncodnnUnet,4 channels,TC,0.9136276245117188,1.0
BraTS2021_00616,MEncodnnUnet,4 channels,TC,0.9913944602012634,1.0
BraTS2021_01319,MEncodnnUnet,4 channels,TC,0.9845089316368103,1.0
BraTS2021_00193,MEncodnnUnet,4 channels,TC,0.9499689936637878,2.8284271247461903
BraTS2021_01212,MEncodnnUnet,4 channels,TC,0.9315034747123718,1.7320508075688772
BraTS2021_01297,MEncodnnUnet,4 channels,TC,0.8951162695884705,2.0
BraTS2021_01339,MEncodnnUnet,4 channels,TC,0.9867297410964966,1.0
BraTS2021_00157,MEncodnnUnet,4 channels,TC,0.9710041880607605,1.0
BraTS2021_00777,MEncodnnUnet,4 channels,TC,0.9855390787124634,1.0
BraTS2021_00191,MEncodnnUnet,4 channels,TC,0.9712933301925659,14.798648586948742
BraTS2021_00219,MEncodnnUnet,4 channels,TC,0.9882772564888,1.0
BraTS2021_01370,MEncodnnUnet,4 channels,TC,0.830075204372406,6.708203932499369
BraTS2021_01485,MEncodnnUnet,4 channels,TC,0.3606175482273102,23.073786105943018
BraTS2021_00567,MEncodnnUnet,4 channels,TC,0.9556610584259033,1.7320508075688772
BraTS2021_00596,MEncodnnUnet,4 channels,TC,0.976280927658081,1.0
BraTS2021_01177,MEncodnnUnet,4 channels,TC,0.9658656120300293,12.36931687685298
BraTS2021_00839,MEncodnnUnet,4 channels,TC,0.8330745100975037,2.0
BraTS2021_01573,MEncodnnUnet,4 channels,TC,0.9798629879951477,2.8284271247461903
BraTS2021_01579,MEncodnnUnet,4 channels,TC,0.9566029906272888,1.4142135623730951
BraTS2021_01636,MEncodnnUnet,4 channels,TC,0.5954265594482422,14.594519519326424
BraTS2021_01435,MEncodnnUnet,4 channels,TC,0.8720766305923462,3.605551275463989
BraTS2021_01634,MEncodnnUnet,4 channels,TC,0.9860085844993591,2.449489742783178
BraTS2021_01515,MEncodnnUnet,4 channels,TC,0.8039181232452393,8.54400374531753
BraTS2021_01567,MEncodnnUnet,4 channels,TC,0.9765679836273193,1.0
BraTS2021_01200,MEncodnnUnet,4 channels,TC,0.9841683506965637,1.0
BraTS2021_00780,MEncodnnUnet,4 channels,TC,0.9868588447570801,1.0
BraTS2021_00212,MEncodnnUnet,4 channels,TC,0.9758250117301941,1.0
BraTS2021_00000,MEncodnnUnet,4 channels,TC,0.9829752445220947,1.0
BraTS2021_00556,MEncodnnUnet,4 channels,TC,0.9044719934463501,4.123105625617661
BraTS2021_01211,MEncodnnUnet,4 channels,TC,0.9153802990913391,2.449489742783178
BraTS2021_00407,MEncodnnUnet,4 channels,TC,0.9498918056488037,1.4142135623730951
BraTS2021_00824,MEncodnnUnet,4 channels,TC,0.9676839113235474,2.23606797749979
BraTS2021_00718,MEncodnnUnet,4 channels,TC,0.9662257432937622,1.4142135623730951
BraTS2021_01660,MEncodnnUnet,4 channels,TC,0.9568516612052917,2.23606797749979
BraTS2021_00448,MEncodnnUnet,4 channels,TC,0.9869441986083984,1.0
BraTS2021_01239,MEncodnnUnet,4 channels,TC,0.9387989044189453,1.7320508075688772
