"logrmsd","template_HeavyAtomCount","template_NHOHCount","template_NOCount","template_RingCount","template_NumHAcceptors","template_NumHDonors","template_NumHeteroAtoms","template_NumRotatableBonds","docked_HeavyAtomCount","docked_NHOHCount","docked_NOCount","docked_RingCount","docked_NumHAcceptors","docked_NumHDonors","docked_NumHeteroAtoms","docked_NumRotatableBonds","mcs_HeavyAtomCount","mcs_NOCount","mcs_RingCount","mcs_NumHeteroAtoms","mcs_template_NHOHCount","mcs_docked_NHOHCount","mcs_template_NumHAcceptors","mcs_docked_NumHAcceptors","mcs_template_NumHDonors","mcs_docked_NumHDonors","mcs_template_NumRotatableBonds","mcs_docked_NumRotatableBonds","ec_tanimoto_similarity","fc_tanimoto_similarity"
1.89731996488855,28,1,8,3,6,1,11,7,39,2,10,4,7,2,15,9,16,6,0,7,1,1,3,4,1,1,6,6,0.218085106382979,0.308571428571428
2.38499422923476,28,1,8,3,6,1,11,7,39,1,6,6,7,1,7,11,9,2,0,2,0,0,1,2,0,0,2,4,0.0900900900900901,0.136150234741784
1.87103265012256,28,1,8,3,6,1,11,7,28,3,6,3,3,2,7,7,14,5,0,5,1,2,2,3,1,2,4,5,0.13953488372093,0.202453987730061
0.668854487990901,28,1,8,3,6,1,11,7,24,4,7,2,5,3,7,10,10,4,0,4,0,1,2,2,0,1,3,2,0.102409638554217,0.211920529801325
1.93224578686126,28,1,8,3,6,1,11,7,27,3,6,3,4,2,7,7,14,5,0,5,1,2,2,3,1,2,4,7,0.135294117647059,0.221518987341772
0.885419068207068,28,1,8,3,6,1,11,7,24,3,5,2,3,2,6,7,14,5,0,5,1,2,2,3,1,2,4,7,0.155844155844156,0.271428571428571
1.94075402190594,28,1,8,3,6,1,11,7,33,3,5,4,3,2,6,8,14,5,0,5,1,2,2,3,1,2,4,5,0.119791666666667,0.174863387978142
1.3955018418708,28,1,8,3,6,1,11,7,33,3,7,6,5,2,7,5,9,2,0,2,0,0,1,1,0,0,2,3,0.11340206185567,0.186813186813187
2.02075254533116,28,1,8,3,6,1,11,7,33,6,10,3,7,5,10,11,14,5,0,5,1,2,2,4,1,2,4,6,0.12972972972973,0.208092485549133
2.06483538929047,28,1,8,3,6,1,11,7,31,7,10,2,5,6,10,13,14,5,0,5,1,2,2,3,1,2,4,6,0.0967741935483871,0.192982456140351
-0.303811454381665,28,1,8,3,6,1,11,7,9,2,2,1,2,1,4,1,7,0,1,2,0,0,1,1,0,0,1,1,0.150943396226415,0.207920792079208
2.00821403239147,28,1,8,3,6,1,11,7,30,4,6,5,3,2,7,4,9,2,0,2,1,0,0,1,1,0,3,1,0.110497237569061,0.189349112426035
0.853989705676776,28,1,8,3,6,1,11,7,27,3,5,3,3,2,6,7,14,5,0,5,1,2,2,3,1,2,4,7,0.122093023255814,0.198757763975155
0.902597404742153,28,1,8,3,6,1,11,7,28,3,5,3,3,2,7,7,14,5,0,5,1,2,2,3,1,2,4,7,0.132947976878613,0.195121951219512
2.12142286391994,28,1,8,3,6,1,11,7,19,6,6,3,2,4,6,2,9,2,0,2,0,1,0,1,0,1,3,1,0.0649350649350649,0.0649350649350649
1.80071921059953,28,1,8,3,6,1,11,7,27,3,6,3,3,2,6,7,14,5,0,5,1,2,2,3,1,2,4,5,0.122093023255814,0.191358024691358
1.93542681904047,28,1,8,3,6,1,11,7,19,6,5,3,2,4,5,2,9,2,0,2,0,1,0,1,0,1,3,1,0.0512820512820513,0.0580645161290323
1.48069503654137,28,1,8,3,6,1,11,7,31,2,8,3,7,2,11,8,14,4,0,4,1,1,1,4,1,1,4,6,0.0789473684210526,0.126373626373626
2.36958932177452,28,1,8,3,6,1,11,7,45,7,11,5,6,6,11,13,15,4,0,4,0,1,2,2,0,1,3,8,0.11304347826087,0.196261682242991
1.94890565803511,28,1,8,3,6,1,11,7,33,6,10,3,7,5,10,11,14,5,0,5,1,2,2,4,1,2,4,6,0.135869565217391,0.208092485549133
0.689139159162407,28,1,8,3,6,1,11,7,14,1,3,2,3,1,5,2,6,1,0,1,0,1,0,0,0,1,1,1,0.0746268656716418,0.0827067669172932
1.38729386145297,28,1,8,3,6,1,11,7,32,4,5,5,4,2,8,5,9,2,0,2,0,0,1,1,0,0,2,3,0.101604278074866,0.170454545454545
1.91338695734975,28,1,8,3,6,1,11,7,22,3,5,2,3,2,6,6,14,5,0,5,1,2,2,3,1,2,4,6,0.154362416107383,0.255474452554744
2.02749013604774,28,1,8,3,6,1,11,7,32,3,8,3,5,3,10,10,18,7,0,8,1,2,4,4,1,2,6,8,0.14207650273224,0.229411764705882
1.72508533596006,28,1,8,3,6,1,11,7,26,3,6,3,4,2,6,7,14,5,0,5,1,2,2,3,1,2,4,7,0.117647058823529,0.20253164556962
0.8424288832757,28,1,8,3,6,1,11,7,10,2,2,1,1,1,3,1,6,2,0,2,0,1,1,1,0,1,0,1,0.0948275862068966,0.104347826086957
2.07417771200474,28,1,8,3,6,1,11,7,39,4,9,5,7,3,11,10,18,7,0,8,1,2,4,4,1,2,6,7,0.14975845410628,0.265957446808511
1.4902038245104,28,1,8,3,6,1,11,7,27,3,6,3,4,2,7,7,14,5,0,5,1,2,2,3,1,2,4,7,0.135294117647059,0.213836477987421
2.43921169052587,28,1,8,3,6,1,11,7,38,1,4,6,5,1,6,9,9,2,0,2,0,0,1,2,0,0,2,4,0.0921658986175115,0.133971291866029
2.3341806545838,28,1,8,3,6,1,11,7,33,2,7,2,5,2,7,12,10,3,0,3,1,1,1,1,1,1,3,5,0.0785340314136126,0.226190476190476
1.91441948196394,28,1,8,3,6,1,11,7,26,1,5,2,4,1,5,9,9,2,0,2,0,0,1,1,0,0,2,4,0.0823529411764706,0.171974522292994
1.93802197620631,28,1,8,3,6,1,11,7,26,3,6,3,4,2,6,7,14,5,0,5,1,2,2,3,1,2,4,7,0.117647058823529,0.20253164556962
0.519983561550756,28,1,8,3,6,1,11,7,28,1,8,3,6,1,11,8,21,8,2,9,1,1,5,5,1,1,6,6,0.641025641025641,0.777777777777778
1.63354498777733,28,1,8,3,6,1,11,7,28,3,5,3,3,2,5,8,14,5,0,5,1,2,2,3,1,2,4,5,0.120689655172414,0.211180124223602
1.86175184104809,28,1,8,3,6,1,11,7,27,3,6,3,3,2,6,7,14,5,0,5,1,2,2,3,1,2,4,5,0.12280701754386,0.192546583850932
-0.311974765020825,33,6,10,3,7,5,10,11,27,3,6,3,3,2,6,7,24,5,2,5,2,2,4,3,2,2,8,7,0.186440677966102,0.228070175438597
-0.160168752152821,33,6,10,3,7,5,10,11,31,6,9,3,5,5,9,10,29,9,0,9,5,5,6,5,5,5,11,10,0.339506172839506,0.418300653594771
-1.18090753139494,33,6,10,3,7,5,10,11,28,3,6,3,3,2,7,7,24,5,2,5,2,2,4,3,2,2,8,7,0.189944134078212,0.224137931034483
1.9280370875206,33,6,10,3,7,5,10,11,33,2,7,3,4,2,11,8,14,2,0,2,0,1,2,1,0,1,5,4,0.101941747572816,0.123762376237624
1.96192409575138,33,6,10,3,7,5,10,11,26,4,6,3,3,3,7,6,22,3,1,3,1,2,2,0,1,2,8,6,0.179190751445087,0.221556886227545
0.414094434806219,33,6,10,3,7,5,10,11,34,3,5,4,3,2,7,8,25,5,2,5,2,2,4,3,2,2,9,7,0.157635467980296,0.192893401015228
0.313349819200359,33,6,10,3,7,5,10,11,27,3,5,3,3,2,6,7,25,5,2,5,2,2,4,3,2,2,9,7,0.280487804878049,0.320754716981132
2.07580995544579,33,6,10,3,7,5,10,11,34,7,10,2,6,4,14,13,16,4,0,4,2,1,3,2,2,1,8,9,0.153061224489796,0.21505376344086
0.34500713907105,33,6,10,3,7,5,10,11,30,2,6,3,3,2,7,8,27,5,2,5,2,2,4,2,2,2,11,8,0.319277108433735,0.288235294117647
0.0944006754214843,33,6,10,3,7,5,10,11,27,3,5,3,3,2,6,7,25,5,2,5,2,2,4,3,2,2,9,7,0.186440677966102,0.22093023255814
1.72899714749174,33,6,10,3,7,5,10,11,37,6,10,4,8,5,12,12,10,1,0,1,0,1,1,0,0,1,4,5,0.0990990990990991,0.14018691588785
2.06356619252155,33,6,10,3,7,5,10,11,33,4,8,3,5,3,9,10,24,5,1,5,2,2,4,3,2,2,9,6,0.236559139784946,0.263736263736264
-0.233193887167711,33,6,10,3,7,5,10,11,27,3,5,3,3,2,5,7,25,5,2,5,2,2,4,3,2,2,9,7,0.193181818181818,0.228070175438597
1.48862529221735,33,6,10,3,7,5,10,11,9,2,1,1,1,1,2,1,8,1,0,1,0,1,1,1,0,1,4,1,0.083969465648855,0.0923076923076923
2.16447179086441,33,6,10,3,7,5,10,11,32,2,8,5,8,2,10,7,21,2,0,2,1,1,1,2,1,1,8,6,0.120192307692308,0.153465346534653
1.58719230348678,33,6,10,3,7,5,10,11,35,3,6,3,5,3,8,11,14,1,0,1,0,1,1,1,0,1,5,5,0.114832535885167,0.165
0.778407024510769,33,6,10,3,7,5,10,11,16,4,3,3,3,2,3,0,14,3,0,3,1,2,2,3,1,2,4,0,0.0745341614906832,0.0880503144654088
1.78120395528854,33,6,10,3,7,5,10,11,13,4,2,2,1,2,4,1,10,1,1,1,0,1,1,0,0,1,4,1,0.0902777777777778,0.121428571428571
0.535908404133454,33,6,10,3,7,5,10,11,47,5,13,5,13,5,15,14,12,2,0,2,1,1,1,1,1,1,4,2,0.120481927710843,0.167364016736402
2.28533719958449,33,6,10,3,7,5,10,11,32,4,8,3,5,2,11,8,20,6,0,6,2,2,5,5,2,2,8,7,0.119402985074627,0.171875
0.173112617708645,33,6,10,3,7,5,10,11,26,3,6,3,4,2,6,7,26,6,2,6,2,2,5,4,2,2,8,7,0.182857142857143,0.269938650306749
1.50341050778857,33,6,10,3,7,5,10,11,39,5,9,3,5,4,10,14,27,7,1,7,4,4,5,3,4,4,9,11,0.166666666666667,0.200980392156863
2.48532322967322,33,6,10,3,7,5,10,11,27,4,5,4,2,2,5,5,15,2,0,2,1,0,1,1,1,0,5,4,0.147540983606557,0.206896551724138
0.47374661552457,33,6,10,3,7,5,10,11,29,7,7,3,3,4,7,8,26,6,2,6,3,3,4,3,3,3,9,8,0.195530726256983,0.236994219653179
2.01303460948224,33,6,10,3,7,5,10,11,42,6,12,3,7,5,13,13,19,3,1,3,1,1,3,1,1,1,8,6,0.231527093596059,0.288659793814433
