name,type,Nvalues,rounding,domainmin,domainmax,minincluded,maxincluded,centralvalue,lowvalue,highvalue,plotmin,plotmax
Truth,ordinal,6,,0,5,TRUE,TRUE,2,1,4,0,5
Predictions,ordinal,6,,0,5,TRUE,TRUE,2,1,4,0,5
Output_class_0,continuous,Inf,0,-400,300,FALSE,FALSE,-6.28083229064942,-11.0674133300781,-0.969266265630722,-93.2042783051729,11.3910620957613
Output_class_1,continuous,Inf,0,-20,20,FALSE,FALSE,0.49195770919323,-0.129336446523667,1.07114857435227,-3.36252893507481,2.91356743872166
Output_class_2,continuous,Inf,0,-70,60,FALSE,FALSE,-2.03399813175201,-3.50801861286164,-0.473503053188324,-13.8234272897244,8.41638335585595
Output_class_3,continuous,Inf,0,-20,20,FALSE,FALSE,0.459554970264435,-0.375464618206025,1.14712077379227,-4.00043654441834,3.31719326972962
Output_class_4,continuous,Inf,0,-100,100,FALSE,FALSE,-3.9838970899582,-6.90612983703614,-0.462382063269616,-21.2411686256528,15.0152431800962
Output_class_5,continuous,Inf,0,-30,20,FALSE,FALSE,0.318551987409592,-0.742846950888634,1.16777840256691,-5.16875977069139,3.87640780955553
